魔法少女まどか☆マギカ,Madoka Magica
まほうしょうじょまどかまぎか,Madoka Magica
鹿目まどか,Madoka Kaname
かなめまどか,Madoka Kaname
まどほむ,MadoHomu
ほむまど,HomuMado
まどマミ,MadoMami
マミまど,MamiMado
まどさや,MadoSaya
さやまど,SayaMado
まどあん,MadoKyo
杏まど,KyoMado
まどなぎ,MadoNagi
なぎまど,NagiMado
仁まど,Hitomi x Madoka
キュゥまど,Kyubey x Madoka
女神まどか,Goddess Madoka
めがみまどか,Goddess Madoka
まど神,Goddess Madoka
アルティメットまどか,Ultimate Madoka
あるてぃめっとまどか,Ultimate Madoka
暁美ほむら,Homura Akemi
あけみほむら,Homura Akemi
ほむあん,HomuKyo
ほむ杏,KyoHomu
ほむマミ,HomuMami
マミほむ,MamiHomu
ほむさや,HomuSaya
さやほむ,SayaHomu
杏ほむ,KyoHomu
ほむあん,HomuKyo
ほむ杏,HomuKyo
ほむ×ほむ,Hom x Hom
ほむなぎ,HomuNagi
なぎほむ,NagiHomu
ほむQ,Hom Q
悪魔ほむら,Devil Homura
あくまほむら,Devil Homura
佐倉杏子,Kyouko Sakura
さくらきょうこ,Kyouko Sakura
杏さや,SayaKyo
杏ゆま,KyoSaya 
巴マミ,Mami Tomoe
ともえまみ,Mami Tomoe
美樹さやか,Sayaka Miki
みきさやか,Sayaka Miki
百江なぎさ,Nagisa Momoe
キュゥべえ,Kyubey
madokakaname,Madoka Kaname
homuraakemi,Homura Akemi
mamitomoe,Mami Tomoe
sayakamiki,Sayaka Miki
ultimatemadoka, Ultimate Madoka
kyoukosakura, Kyouko Sakura
kyousaya, KyouSaya
homumado, HomuMado
charlotte, Charlotte